视频标题,视频BV号,弹幕出现时间,类型,字体大小,颜色,发送时间,弹幕池,用户哈希,弹幕ID,弹幕内容
【Ai翻唱/宵崎奏】我的鸡它八岁了,BV1sCBWYLEWA,3.654,5,25,16777215,2024-11-25 21:47:13,0,91178a82,1723449858398004224,mzk：还有高手？
【Ai翻唱/宵崎奏】我的鸡它八岁了,BV1sCBWYLEWA,0.0,5,25,8700107,2024-11-24 16:28:25,0,30c188a3,1722564624802974976,哇还有扶她
