"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","笑夜生","00：53 卡芙卡pv 04：35 三月七pv 08：51 星间旅行 12：18 姬子pv 13：36 太空漫步 15：34 即兴演出＋银狼の小曲 18：24 托帕pv 20：26 空间站战斗の小曲 22：17 末日兽boss 24：13 Take the Journey（续写交响上大分） 27：50 帕姆互动环节 29：02 贝洛伯格上城区bgm 30：32 行政区bgm 31：05 博物馆bgm 32：14 下城区bgm（垃圾桶打架） 33：30 希儿 35：02 希露瓦pv＋下城区说唱npc 37：40 永冬岭bgm 39：14 造物引擎，启动！ 41：06 野火（划重点） 45：04 帕姆抽奖环节 47：55 鳞渊境＋水龙吟（划重点） 54：15 星槎海＋长乐天bgm 邀挽明月成宵宴＋双人舞 57：00 镜流pv 58：45 刃pv（无缝衔接，连起来看效果更佳） 1：01：01 雷车动地（仙舟战斗bgm） 1：03：10 金人巷bgm片时酣＋舞狮 1：04：47 金人巷bgm＋杂技 1：06：49 藿藿pv＋空竹cos鬼火＋尾巴大爷抽象表演 1：09：11 景元元水幕投影＋幻胧友情赞助旁白 1：11：22 蝉喓歌（划重点） 1：17：42 景元pv 1：21：09 Funny Bone 1：24：30 致：黯淡星 1：28：56 钟表小子＋黄金的时刻bgm 1：31：37 苏乐达の小曲 1：33：50 知更鸟 使一颗心免于哀伤 1：37：27 知更鸟 在银河中孤独摇摆 1：40：40 忘了是哪个地图的bgm 1：41：27 钟表小子和哈努兄弟 1：43：01 我将，点燃大海！（萨姆出场） 1：45：10 花火pv 1：48：09 不眠之夜（划重点） 1：53：37 星穹铁道启动 1：54：49 各位星神的小曲 1：56：20 全员立绘","29","2024-05-06 14:11:36","220154088496","101108586"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","瞌睡叔叔","他似乎下一秒就会变身","20","2024-05-06 12:38:11","220142204080","396534"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","一拂晓一","真不错！是音质修复版本的音乐会视频！！原来五一假期都在修视频么[脱单doge]","25","2024-05-06 12:03:09","220137172496","185576"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","活力阿屑","猜你在找：[脱单doge]","20","2024-05-06 20:40:12","220202331664","662721148"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","学习の时间","AI字幕君你...hhhh 心海在外面真的要保護好自己啊[笑哭]","20","2024-05-06 20:22:23","220199620976","195913338"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","布偶yummi","省流：致黯淡星声音正常，不眠之夜有互动，有些人别太自以为是了","854","2024-05-06 12:03:14","220137225664","263085250"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","直播中心管理员","卡芙卡 《戏剧性反讽》   0:56 三月七 来拍照吧  4:39 三月七的小魔法   6:01 1.《星间旅行》 茶理理   8:56 姬子 《追星星的人》12:22 黑塔空间站 《太空漫步》 13:40 银狼《即兴演出》 15:37 扑满的小曲  18:25 黑塔空间站 战斗bgm系列   20:29 2.《踏上旅途》Anthony Lynch   25:16 帕姆帕姆帕  27:57 贝洛伯格 《余烬》《炉火》  29:06 贝洛伯格 下层区系列bgm  32:17 希儿 《一夜无事》 33:32 3.《引爆在黎明将现》 孙瑄阳Xtina  35:05 贝洛伯格 永冬岭系列bgm  37:42","24","2024-05-06 12:20:05","220139614880","389638997"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","派_six","在现场 真的超震撼","23","2024-05-06 12:03:08","220137111968","640526625"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","超限奥秘","这不搞个“充电专享”，懂不懂转圈捏[doge][doge]","21","2024-05-06 12:05:32","220137432240","50072451"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","三日月団子","你真的不打算出碟吗[辣眼睛] 真正的粉丝已经学会手搓蓝光原盘了[脱单doge]","16","2024-06-05 08:59:56","224754062080","198710"
