"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","bili_405090807","涩","138","2024-10-18 23:08:16","244914499248","405090807"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","希杜提里奥","乱破对抗原始博士的猴子联想一下乱破的原型的话，正好是石川五右卫门，石川五右卫门多次对抗丰臣秀吉，丰臣秀吉又正好外号猴子，不知道是巧合还是星铁故意的。","6015","2024-10-18 12:37:44","244867490880","91322640"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","蚌埠住了BGO的兄弟们","打斗太精致了，建议换成小人对撞，否则观众们忍者级别的视力就浪费了（）","3831","2024-10-18 17:26:44","244886211488","147938238"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","撒西布荔","香蕉机甲对抗忍者，此事在果宝特攻中亦有记载[崩坏3_乱杀]","3633","2024-10-18 17:37:38","244887063392","363437508"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","_夜雨声煩_","乱破：在下的力量和其他命途行者有所不同，是忍术 科技 命途的三重交汇，而这就是在下的力量具象化—忍法驱动器！","2048","2024-10-18 12:03:10","244647847377","77207087"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","WYX2023xm","没有右上角图标，我还以为花火旁边这两位是你游新卫星呢[doge]","611","2024-10-18 12:00:50","244864454160","294099923"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","一只有思想的Requiem","[doge]","20","2024-10-18 12:15:11","244648806801","419813589"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","琥珀星雨","你已经可以做两分四十九秒的动画了，接下来二十四分九秒的动画也可以安排了吧，进一步两小时四十九分钟的动画是不是也该考虑考虑了呢","5859","2024-10-18 13:54:23","244872994464","842734"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","愿金风玉露一相逢","日配是吊带袜天使，英配是飞天小女警","2519","2024-10-18 12:21:16","244649176561","153324971"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","厌氧君需要吸氧气","知道吗，它这个画风我总会觉得下一秒要不是脱袜子就是脱胖次了……","45","2024-10-18 22:46:04","244912685776","508901634"
